"[0, 0, 2, 1, 0]","[[8.92083173, 8.25732183, 7.36778787]]","[[0.00000000e+00, 1.65364566e+01, 0.00000000e+00, 2.83791367e-02]
, [5.52106011e+00, 1.94219418e+00, 8.60644801e-04, 8.95911459e-05]
, [2.02180863e+00, 4.53339600e-01, 7.88906538e-05, 2.76680371e-06]]"
"[0, 0, 2, 1, 1]","[[8.92600685, 8.29112323, 7.51689306]]","[[0.00000000e+00, 1.66614541e+01, 0.00000000e+00, 2.88572723e-02]
, [5.59055947e+00, 1.77898523e+00, 8.97213910e-04, 6.91197022e-05]
, [2.26068249e+00, 5.13139530e-01, 7.89721344e-05, 3.41979671e-06]]"
"[0, 1, 0, 0, 0]","[[8.92412342, 8.21976103, 7.35926571]]","[[0.00000000e+00, 2.07581893e+01, 0.00000000e+00, 4.59687793e-02]
, [5.40200943e+00, 2.60331569e+00, 8.50419859e-04, 1.68210646e-04]
, [2.09094847e+00, 5.63723267e-01, 1.01596311e-04, 4.54231137e-06]]"
"[0, 1, 0, 0, 1]","[[8.92270467, 8.24236815, 7.37168306]]","[[0.00000000e+00, 1.80633561e+01, 0.00000000e+00, 3.40935776e-02]
, [5.09563083e+00, 2.63496988e+00, 6.40812232e-04, 1.65242686e-04]
, [2.09316469e+00, 4.87467294e-01, 9.88279454e-05, 3.35455633e-06]]"
"[0, 1, 0, 1, 0]","[[8.92252736, 8.13590174, 7.34140554]]","[[0.00000000e+00, 2.28152399e+01, 0.00000000e+00, 5.55865138e-02]
, [5.25382172e+00, 3.08964206e+00, 9.61464145e-04, 3.15148969e-04]
, [2.02181025e+00, 7.69945811e-01, 7.76512664e-05, 9.46017370e-06]]"
"[0, 1, 0, 1, 1]","[[8.92774993, 8.217407, 7.16496537]]","[[0.00000000e+00, 2.87188593e+01, 0.00000000e+00, 9.35399563e-02]
, [5.58707239e+00, 2.75550908e+00, 1.09566487e-03, 2.09747729e-04]
, [1.86808518e+00, 5.33097731e-01, 8.87529574e-05, 4.98711719e-06]]"
"[0, 1, 1, 0, 0]","[[8.92512115, 8.22909238, 7.44487098]]","[[0.00000000e+00, 1.76601667e+01, 0.00000000e+00, 3.18298065e-02]
, [5.19566038e+00, 1.58875704e+00, 7.54402763e-04, 5.62657916e-05]
, [2.18534248e+00, 3.87301761e-01, 8.79955938e-05, 1.83212079e-06]]"
"[0, 1, 1, 0, 1]","[[8.92771972, 8.20703092, 7.27137804]]","[[0.00000000e+00, 1.52986803e+01, 0.00000000e+00, 2.40297601e-02]
, [5.15378676e+00, 2.32009747e+00, 7.90065786e-04, 1.25439571e-04]
, [1.90992394e+00, 4.38400689e-01, 8.34093710e-05, 3.63832885e-06]]"
"[0, 1, 1, 1, 0]","[[8.92512786, 8.20923408, 7.48405569]]","[[0.00000000e+00, 1.74150886e+01, 0.00000000e+00, 3.22797260e-02]
, [5.55692880e+00, 1.93450097e+00, 8.60847460e-04, 9.23326240e-05]
, [2.49137768e+00, 4.07934243e-01, 1.20703204e-04, 2.38732197e-06]]"
"[0, 1, 1, 1, 1]","[[8.92808039, 8.20977799, 7.41018807]]","[[0.00000000e+00, 1.80953353e+01, 0.00000000e+00, 3.34105355e-02]
, [5.19523811e+00, 2.49230024e+00, 8.43382489e-04, 1.68029303e-04]
, [2.11968841e+00, 4.54180351e-01, 6.71247793e-05, 2.59967324e-06]]"
"[0, 1, 2, 0, 0]","[[8.91755143, 8.14947094, 7.42750494]]","[[0.00000000e+00, 2.22115117e+01, 0.00000000e+00, 5.27264807e-02]
, [5.36589448e+00, 2.53427324e+00, 1.05019274e-03, 2.07354442e-04]
, [2.17756527e+00, 8.77565486e-01, 6.72715920e-05, 9.43857623e-06]]"
"[0, 1, 2, 0, 1]","[[8.92517058, 8.22244837, 7.2778349, ]]","[[0.00000000e+00, 1.54162501e+01, 0.00000000e+00, 2.43569957e-02]
, [5.01767486e+00, 1.95166149e+00, 7.93479933e-04, 9.33841783e-05]
, [2.04729311e+00, 7.00232771e-01, 8.48583808e-05, 9.21822981e-06]]"
"[0, 1, 2, 1, 0]","[[8.92039327, 8.200963, 7.27713324]]","[[0.00000000e+00, 1.73149113e+01, 0.00000000e+00, 3.06806124e-02]
, [5.18860409e+00, 1.63194403e+00, 7.65122772e-04, 6.12221705e-05]
, [2.01454066e+00, 5.11005923e-01, 8.52273935e-05, 4.29291604e-06]]"
"[0, 1, 2, 1, 1]","[[8.92448437, 8.07753258, 7.07475886]]","[[0.00000000e+00, 1.62658265e+01, 0.00000000e+00, 2.69049560e-02]
, [5.07323644e+00, 1.68935740e+00, 9.54025285e-04, 8.07974106e-05]
, [2.02322964e+00, 5.71931194e-01, 1.46522021e-04, 7.63807674e-06]]"
"[0, 2, 0, 0, 0]","[[8.92810941, 8.08514798, 7.08637211]]","[[0.00000000e+00, 1.38643434e+01, 0.00000000e+00, 1.88238444e-02]
, [4.90577536e+00, 2.30324318e+00, 8.53328810e-04, 1.50471624e-04]
, [1.75627316e+00, 4.56100702e-01, 8.42928954e-05, 3.44439802e-06]]"
